id;ctc;location;status
1;Home alliance Investment;Jewelery;calculating blue Cambridgeshire
2;systems;Legacy;green generate
3;Accountability fuchsia;functionalities Self-enabling Tuna;Shoes Compatible
4;Adaptive;Afghanistan initiative;service-desk
5;Canyon;24/7 copy;Mills programming
6;pixel Virtual;Account collaboration GB;Liaison Centers
7;Alley;line;generate leverage overriding
8;indexing Alley bluetooth;Books Account navigate;neural Solutions
9;whiteboard Dollar Streamlined;Canadian;firewall deposit
10;well-modulated Bypass;Gorgeous red;Frozen Automotive Borders
